Year,InflationRate
1928,-0.011561
1929,0.005848
1930,-0.063953
1931,-0.093168
1932,-0.102740
1933,0.007634
1934,0.015152
1935,0.029851
1936,0.014493
1937,0.028571
1938,-0.027778
1939,0.000000
1940,0.007143
1941,0.099291
1942,0.090323
1943,0.029586
1944,0.022989
1945,0.022472
1946,0.181319
1947,0.088372
1948,0.029915
1949,-0.020747
1950,0.059322
1951,0.060000
1952,0.007547
1953,0.007491
1954,-0.007435
1955,0.003745
1956,0.029851
1957,0.028986
1958,0.017606
1959,0.017301
1960,0.013605
1961,0.006711
1962,0.013333
1963,0.016447
1964,0.009709
1965,0.019231
1966,0.034591
1967,0.030395
1968,0.047198
1969,0.061972
1970,0.055703
1971,0.032663
1972,0.034063
1973,0.087059
1974,0.123377
1975,0.069364
1976,0.048649
1977,0.067010
1978,0.090177
1979,0.132939
1980,0.125163
1981,0.089224
1982,0.038298
1983,0.037910
1984,0.039487
1985,0.037987
1986,0.010979
1987,0.044344
1988,0.044194
1989,0.046473
1990,0.061063
1991,0.030643
1992,0.029007
1993,0.027484
1994,0.026749
1995,0.025384
1996,0.033225
1997,0.017024
1998,0.016119
1999,0.026846
2000,0.033868
2001,0.015517
2002,0.023769
2003,0.018795
2004,0.032556
2005,0.034157
2006,0.025407
2007,0.040813
2008,0.000914
2009,0.027213
2010,0.014957
2011,0.029624
2012,0.017410
2013,0.015017
2014,0.007565
2015,0.007295
2016,0.020746
2017,0.021091
2018,0.019102
2019,0.022851
2020,0.013620
2021,0.070364
2022,0.064544
2023,0.033521
2024,0.028881
2025,0.026771
